,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,5144036,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
2,"Blinding Lights","The Weeknd",4823098,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
3,"Rain On Me (with Ariana Grande)","Lady Gaga",4668185,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
4,"Roses - Imanbek Remix","SAINt JHN",4184833,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI
5,"Toosie Slide",Drake,3834563,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
6,"death bed (coffee for your head)",Powfu,3539691,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
7,"Sour Candy (with BLACKPINK)","Lady Gaga",3309411,https://open.spotify.com/track/1IWNylpZ477gIVUDpJL66u
8,"Don't Start Now","Dua Lipa",2929360,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
9,"THE SCOTTS","THE SCOTTS",2813323,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk
10,"ily (i love you baby) (feat. Emilee)","Surf Mesa",2786233,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
11,"Dance Monkey","Tones And I",2771712,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
12,"Break My Heart","Dua Lipa",2653055,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
13,"Blueberry Faygo","Lil Mosey",2591962,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
14,"Stuck with U (with Justin Bieber)","Ariana Grande",2578986,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
15,Supalonely,BENEE,2507177,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw
16,"The Box","Roddy Ricch",2477638,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
17,GOOBA,6ix9ine,2333806,https://open.spotify.com/track/4NhDYoQTYCdWHTvlbGVgwo
18,"TKN (feat. Travis Scott)",ROSALÍA,2303281,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7
19,"Watermelon Sugar","Harry Styles",2185642,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
