,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,positions,"Ariana Grande",6517132,https://open.spotify.com/track/7igeByaBM0MgGsgXtNxDJ7
2,"Mood (feat. iann dior)",24kGoldn,5445359,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
3,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",4539019,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
4,"WAP (feat. Megan Thee Stallion)","Cardi B",3983595,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
5,Hawái,Maluma,3877996,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
6,"What You Know Bout Love","Pop Smoke",3740442,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
7,Dynamite,BTS,3701364,https://open.spotify.com/track/0t1kP63rueHleOhQkYSXFY
8,"Blinding Lights","The Weeknd",3544628,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
9,"Holy (feat. Chance The Rapper)","Justin Bieber",3173724,https://open.spotify.com/track/5u1n1kITHCxxp8twBcZxWy
10,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",3110298,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
11,"Watermelon Sugar","Harry Styles",3048280,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
12,"Lonely (with benny blanco)","Justin Bieber",2944364,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
13,"Head & Heart (feat. MNEK)","Joel Corry",2922821,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
14,"you broke me first","Tate McRae",2714294,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
15,"Relación - Remix",Sech,2617749,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
16,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,2562540,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
17,"Laugh Now Cry Later (feat. Lil Durk)",Drake,2467015,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
